N,P,K,pH,EC,OC,S,Zn,Fe,Cu,Mn,B,Fertility
0.2642642642642643,0.4351145038167938,0.5522875816993464,0.4587155963302748,0.56,0.5128205128205128,0.3714689265536723,0.2499999999999999,0.0096711798839458,0.3383084577114427,0.4476834981780323,0.0471698113207547,0
0.4894894894894895,0.3511450381679389,0.1895424836601306,0.605504587155963,0.7333333333333334,0.8205128205128205,0.4887005649717514,0.338235294117647,0.0628626692456479,0.7213930348258706,0.1447162935970848,0.3037735849056603,0
0.3393393393393393,0.5114503816793893,0.8104575163398693,0.5779816513761462,0.4133333333333334,0.8632478632478633,0.9646892655367232,0.338235294117647,0.0628626692456479,0.736318407960199,0.1348256116605934,0.6000000000000001,0
0.3213213213213213,0.2977099236641221,0.4133986928104575,0.6238532110091736,0.5066666666666667,0.7179487179487178,0.786723163841808,0.3970588235294118,0.0319148936170212,0.716417910447761,0.1322228006246746,0.3773584905660377,0
0.6606606606606608,0.5343511450381679,0.3627450980392157,0.6146788990825682,0.2666666666666667,0.6495726495726495,0.788135593220339,0.2647058823529411,0.053191489361702,0.7960199004975124,0.1207704320666319,0.3830188679245283,1
0.5105105105105106,0.4351145038167938,0.3627450980392157,0.4311926605504581,0.6000000000000001,0.5299145299145298,0.7810734463276836,0.4411764705882353,0.0435203094777562,0.4029850746268656,0.1082769390942217,0.709433962264151,0
0.5105105105105106,0.3282442748091603,0.0,0.605504587155963,0.3066666666666667,0.6068376068376069,0.4774011299435028,0.3970588235294118,0.04642166344294,0.4776119402985074,0.0983862571577303,0.2433962264150943,0
0.4714714714714715,0.3129770992366412,0.2924836601307189,0.6146788990825682,0.52,0.5042735042735041,0.4915254237288135,0.3676470588235294,0.0454545454545454,0.2636815920398009,0.1207704320666319,0.3830188679245283,0
0.8498498498498499,0.916030534351145,0.326797385620915,0.3412844036697244,0.3733333333333334,0.442578412035424,0.5515536723163841,0.6470588235294117,0.3007736943907156,0.4925373134328358,0.4737116085372203,0.2452830188679245,2
0.7177177177177178,0.4351145038167938,0.5522875816993464,0.568807339449541,0.32,0.4871794871794871,0.4703389830508474,0.8235294117647058,0.0435203094777562,0.4228855721393034,0.1207704320666319,0.3867924528301887,1
0.2642642642642643,0.3969465648854961,0.8447712418300655,0.5412844036697242,0.1733333333333334,0.5811965811965811,0.5903954802259886,0.9117647058823528,0.0193423597678917,0.5273631840796018,0.1374284226965122,0.4962264150943396,0
0.3033033033033033,0.3969465648854961,0.5343137254901961,0.5779816513761462,0.3333333333333334,0.7435897435897435,0.6327683615819208,0.9411764705882352,0.0164410058027079,0.6169154228855721,0.1395106715252472,0.5283018867924529,1
0.2822822822822823,0.3282442748091603,0.1372549019607842,0.5229357798165136,0.7066666666666668,0.6752136752136751,0.6045197740112993,0.8235294117647058,0.0251450676982591,0.4676616915422885,0.1395106715252472,0.3905660377358491,0
0.2642642642642643,0.1832061068702289,0.3627450980392157,0.6605504587155956,0.5333333333333334,0.5811965811965811,0.6398305084745762,0.9705882352941176,0.0145067698259187,0.6119402985074627,0.1671004685059864,0.4433962264150943,2
0.2822822822822823,0.4122137404580153,0.5343137254901961,0.4495412844036696,0.4400000000000001,0.6068376068376069,0.675141242937853,0.6470588235294117,0.0338491295938104,0.5820895522388059,0.1452368558042686,0.6169811320754717,0
0.4534534534534535,0.366412213740458,0.7418300653594772,0.3944954128440361,0.7600000000000001,0.5299145299145298,0.6398305084745762,0.75,0.0251450676982591,0.462686567164179,0.1905257678292555,0.5377358490566038,1
0.3963963963963964,0.8897149723790333,0.8104575163398693,0.4678899082568802,0.1866666666666667,0.4871794871794871,0.7033898305084745,0.4294117647058823,0.0193423597678917,0.5920398009950247,0.1525247267048412,0.6037735849056604,0
0.5645645645645646,0.3511450381679389,0.8970588235294118,0.3853211009174308,0.9066666666666668,0.5555555555555555,0.731638418079096,0.5735294117647058,0.0164410058027079,0.5323383084577114,0.1483602290473711,0.5924528301886793,0
0.6606606606606608,0.3969465648854961,0.7075163398692811,0.4495412844036696,0.4666666666666668,0.4871794871794871,0.675141242937853,0.3088235294117647,0.0222437137330754,0.5820895522388059,0.3977095262883914,0.3641509433962264,1
0.4894894894894895,0.2442748091603053,0.9493464052287582,0.3853211009174308,0.7733333333333334,0.4358974358974358,0.6963276836158192,0.338235294117647,0.0270793036750483,0.2835820895522388,0.3971889640812077,0.6339622641509435,0
0.5855855855855856,0.3969465648854961,0.5522875816993464,0.321100917431192,0.5733333333333335,0.5811965811965811,0.7740112994350282,0.3235294117647058,0.0212765957446808,0.2388059701492536,0.3966684018740239,0.6415094339622642,0
0.6966966966966968,0.4122137404580153,0.3790849673202614,0.4311926605504581,0.56,0.5555555555555555,0.731638418079096,0.3676470588235294,0.0280464216634429,0.3582089552238806,0.2540343571056741,0.3320754716981132,1
0.4894894894894895,0.4122137404580153,0.7418300653594772,0.3669724770642202,0.4133333333333334,0.5042735042735041,0.6713276836158192,0.3088235294117647,0.06963249516441,0.4726368159203979,0.1072358146798542,0.6037735849056604,0
0.4714714714714715,0.4961832061068703,0.3656862745098039,0.605504587155963,0.6400000000000001,0.5555555555555555,0.7104519774011299,0.3088235294117647,0.0493230174081237,0.4726368159203979,0.1207704320666319,0.8301886792452831,0
