,zcta,time_period,population,Start date,end date,case count,test count,positive tests,case rate,test rate,positivity rate
51,95128,43,36975,2021-05-30,2021-06-19,12.0,2842.0,15.0,1.5,366.0,0.5
52,95128,40,36975,2021-03-28,2021-04-17,38.0,5391.0,47.0,4.9,694.3,0.9
53,95128,36,36975,2021-01-03,2021-01-23,479.0,6659.0,539.0,61.7,857.6,8.1
54,95128,61,36975,2022-06-12,2022-07-02,377.0,3212.0,438.0,48.6,413.7,13.6
55,95128,65,36975,2022-09-04,2022-09-24,72.0,1858.0,83.0,9.3,239.3,4.5
56,95128,59,36975,2022-05-01,2022-05-21,380.0,6975.0,441.0,48.9,898.3,6.3
57,95128,54,36975,2022-01-16,2022-02-05,1079.0,10801.0,1469.0,139.0,1391.0,13.6
58,95128,27,36975,2020-06-28,2020-07-18,79.0,2448.0,84.0,10.2,315.3,3.4
59,95128,37,36975,2021-01-24,2021-02-13,145.0,5235.0,191.0,18.7,674.2,3.6
60,95128,24,36975,2020-04-26,2020-05-16,91.0,506.0,12.0,0.8,65.2,2.4
61,95128,67,36975,2022-10-16,2022-11-05,14.0,803.0,20.0,1.8,103.4,2.5
62,95128,28,36975,2020-07-19,2020-08-08,94.0,2218.0,102.0,12.1,285.6,4.6
63,95128,39,36975,2021-03-07,2021-03-27,48.0,4663.0,68.0,6.2,600.5,1.5
64,95128,32,36975,2020-10-11,2020-10-31,42.0,3560.0,55.0,5.4,458.5,1.5
65,95128,26,36975,2020-06-07,2020-06-27,31.0,1961.0,35.0,4.0,252.6,1.8
66,95128,23,36975,2020-04-05,2020-04-25,16.0,294.0,16.0,2.1,37.9,5.4
67,95128,50,36975,2021-10-24,2021-11-13,75.0,4899.0,84.0,9.7,630.9,1.7
68,95128,44,36975,2021-06-20,2021-07-10,21.0,2224.0,23.0,2.7,286.4,1.0
69,95128,52,36975,2021-12-05,2021-12-25,134.0,6033.0,160.0,17.3,777.0,2.7
70,95128,48,36975,2021-09-12,2021-10-02,86.0,5031.0,96.0,11.1,647.9,1.9
71,95128,22,36975,2020-03-15,2020-04-04,17.0,157.0,16.0,2.2,20.2,10.2
72,95128,21,36975,2020-02-23,2020-03-14,91.0,4352.0,108.5,0.3,0.9,28.6
73,95128,18,36975,2019-12-22,2020-01-11,0.0,4352.0,108.5,0.0,0.3,0.0
74,95128,60,36975,2022-05-22,2022-06-11,409.0,5556.0,488.0,52.7,715.5,8.8
75,95128,35,36975,2020-12-13,2021-01-02,634.0,6491.0,747.0,81.7,836.0,11.5
76,95128,33,36975,2020-11-01,2020-11-21,128.0,4843.0,138.0,16.5,623.7,2.8
77,95128,64,36975,2022-08-14,2022-09-03,132.0,2138.0,146.0,17.0,275.3,6.8
78,95128,25,36975,2020-05-17,2020-06-06,12.0,978.0,12.0,1.5,126.0,1.2
79,95128,45,36975,2021-07-11,2021-07-31,115.0,3507.0,141.0,14.8,451.7,4.0
80,95128,29,36975,2020-08-09,2020-08-29,69.0,2844.0,89.0,8.9,366.3,3.1
81,95128,49,36975,2021-10-03,2021-10-23,63.0,4858.0,68.0,8.1,625.6,1.4
82,95128,57,36975,2022-03-20,2022-04-09,69.0,4648.0,86.0,8.9,598.6,1.9
83,95128,47,36975,2021-08-22,2021-09-11,146.0,5910.0,175.0,18.8,761.1,3.0
84,95128,56,36975,2022-02-27,2022-03-19,67.0,6561.0,85.0,8.6,845.0,1.3
85,95128,41,36975,2021-04-18,2021-05-08,33.0,4483.0,47.0,4.2,577.4,1.0
